Type,MatchValue,DebitAcc,CreditAcc,Direction,MemoTemplate,UseVendor
Name,Utilities Services - LADWP,Due to/ from Owners:USC Development 1377 LLC:1377 W 36th Pl income,Buildium&Appfolio Gen Acct,CR,1377 LADWP Income {current_month},No
Name,Utilities Services - Gas,Due to/ from Owners:USC Development 1377 LLC:1377 W 36th Pl income,Buildium&Appfolio Gen Acct,CR,1377 Socal Gas Income{current_month},No
Name,Utilities Services - Trash,Due to/ from Owners:USC Development 1377 LLC:1377 W 36th Pl income,Buildium&Appfolio Gen Acct,CR,1377 Trash Income{current_month},No
Name,Utilities Services - Internet,Due to/ from Owners:USC Development 1377 LLC:1377 W 36th Pl income,Buildium&Appfolio Gen Acct,CR,1377 Internet Income{current_month},No
Name,Utilities Services - Cleaning,Due to/ from Owners:USC Development 1377 LLC:1377 W 36th Pl income,Buildium&Appfolio Gen Acct,CR,1377 Cleaning Income{current_month},No
Name,Repair,Due to/ from Owners:USC Development 1377 LLC:1377 W 36th Pl income,Buildium&Appfolio Gen Acct,CR,1377 Maintenance Income {current_month},No
Name,Move Out Cleaning Fee,Due to/ from Owners:USC Development 1377 LLC:1377 W 36th Pl income,Buildium&Appfolio Gen Acct,CR,1377 Cleaning Income{current_month},No
Name,Move Out Maintenance Fee,Due to/ from Owners:USC Development 1377 LLC:1377 W 36th Pl income,Buildium&Appfolio Gen Acct,CR,1377 Maintenance Income{current_month},No
Name,Rent Income,Due to/ from Owners:USC Development 1377 LLC:1377 W 36th Pl income,Buildium&Appfolio Gen Acct,CR,1377 Rent Income{current_month},No
Name,Parking Income,Due to/ from Owners:USC Development 1377 LLC:1377 W 36th Pl income,Buildium&Appfolio Gen Acct,CR,1377 Parking Rent Income {current_month},No
Name,Concessions,Due to/ from Owners:USC Development 1377 LLC:1377 W 36th Pl income,Buildium&Appfolio Gen Acct,CR,1377 Concessions {current_month},No
Name,Advertising,Due to/ from Owners:USC Development 1377 LLC,Advertising and Promotion,DR,1377 Advertising {current_month},No
Name,Accounting,Due to/ from Owners:USC Development 1377 LLC,Professional Fees:Bookkeeping Fee,DR,1377 Accounting {current_month},No
Name,Management Fees,Due to/ from Owners:USC Development 1377 LLC,Management Fee earned,DR,1377 Management Fee {current_month},No
Name,Commissions/Placement Fees,Due to/ from Owners:USC Development 1377 LLC,Commission Income,DR,1377 Commission Fee {current_month},No
Name,LADWP,Due to/ from Owners:USC Development 1377 LLC:1377 W 36th Pl utility,Utilities:LADWP,DR,1377 LADWP {current_month},No
Name,Gas,Due to/ from Owners:USC Development 1377 LLC:1377 W 36th Pl utility,Utilities:Socal Gas,DR,1377 Gas {current_month},No
Name,Internet,Due to/ from Owners:USC Development 1377 LLC:1377 W 36th Pl utility,Utilities:Spectrum,DR,1377 Spectrum {current_month},No
