Type,MatchValue,DebitAcc,CreditAcc,Direction,MemoTemplate,UseVendor
Name,Utilities Services - LADWP,Due to/ from Owners:USC Development 1270 LLC:1270 Rolland Curtis Pl income,Buildium&Appfolio Gen Acct,CR,1270 LADWP Income {current_month},No
Name,Utilities Services - Gas,Due to/ from Owners:USC Development 1270 LLC:1270 Rolland Curtis Pl income,Buildium&Appfolio Gen Acct,CR,1270 Socal Gas Income{current_month},No
Name,Utilities Services - Trash,Due to/ from Owners:USC Development 1270 LLC:1270 Rolland Curtis Pl income,Buildium&Appfolio Gen Acct,CR,1270 Trash Income{current_month},No
Name,Utilities Services - Internet,Due to/ from Owners:USC Development 1270 LLC:1270 Rolland Curtis Pl income,Buildium&Appfolio Gen Acct,CR,1270 Internet Income{current_month},No
Name,Utilities Services - Cleaning,Due to/ from Owners:USC Development 1270 LLC:1270 Rolland Curtis Pl income,Buildium&Appfolio Gen Acct,CR,1270 Cleaning Income{current_month},No
Name,Repair,Due to/ from Owners:USC Development 1270 LLC:1270 Rolland Curtis Pl income,Buildium&Appfolio Gen Acct,CR,1270 Maintenance Income {current_month},No
Name,Move Out Cleaning Fee,Due to/ from Owners:USC Development 1270 LLC:1270 Rolland Curtis Pl income,Buildium&Appfolio Gen Acct,CR,1270 Cleaning Income{current_month},No
Name,Move Out Maintenance Fee,Due to/ from Owners:USC Development 1270 LLC:1270 Rolland Curtis Pl income,Buildium&Appfolio Gen Acct,CR,1270 Maintenance Income{current_month},No
Name,Rent Income,Due to/ from Owners:USC Development 1270 LLC:1270 Rolland Curtis Pl income,Buildium&Appfolio Gen Acct,CR,1270 Rent Income{current_month},No
Name,Parking Income,Due to/ from Owners:USC Development 1270 LLC:1270 Rolland Curtis Pl income,Buildium&Appfolio Gen Acct,CR,1270 Parking Rent Income {current_month},No
Name,Concessions,Due to/ from Owners:USC Development 1270 LLC:1270 Rolland Curtis Pl income,Buildium&Appfolio Gen Acct,CR,1270 Concessions {current_month},No
Name,Advertising,Due to/ from Owners:USC Development 1270 LLC,Advertising and Promotion,DR,1270 Advertising {current_month},No
Name,Accounting,Due to/ from Owners:USC Development 1270 LLC,Bookkeeping,DR,1270 Accounting {current_month},No
Name,Management Fees,Due to/ from Owners:USC Development 1270 LLC,Management Fee earned,DR,1270 Management Fee {current_month},No
Name,Commissions/Placement Fees,Due to/ from Owners:USC Development 1270 LLC,Commission Income,DR,1270 Commission Fee {current_month},No
Name,LADWP,Due to/ from Owners:USC Development 1270 LLC:1270 Rolland Curtis Pl Utility,Utilities:LADWP,DR,1270 LADWP {current_month},No
Name,Gas,Due to/ from Owners:USC Development 1270 LLC:1270 Rolland Curtis Pl Utility,Utilities:Socal Gas,DR,1270 Gas {current_month},No
Name,Internet,Due to/ from Owners:USC Development 1270 LLC:1270 Rolland Curtis Pl Utility,Utilities:Spectrum,DR,1270 Spectrum {current_month},No
Name,Republic Service,Due to/ from Owners:USC Development 1270 LLC:1270 Rolland Curtis Pl Utility,Utilities:Trash,DR,1270 Trash {current_month},No

